allMethods,polyMethods,messages,hierarchies,hierarchies,polyHierarchies,classes,polyClasses,methodsCallingPoly,classesCallingPoly,polyCalls,allCalls,implementsPolymorphism,usesPolymorphism
[apache-derby_r817075_20090920] , 32870, 12994, 3534, 165, 165, 145, 2581, 1642, 9691, 1522, 30589, 82537, true, true
[apache-directorystudio_r817075_20090920] , 10104, 1978, 462, 49, 49, 43, 1610, 429, 1206, 442, 3694, 20027, true, true
[apache-ecs_r821723_20091005] , 3706, 1796, 72, 2, 2, 1, 383, 206, 366, 268, 433, 1175, true, true
[apache-excalibur_r817050_20090920] , 5239, 2110, 535, 48, 48, 38, 858, 620, 1384, 465, 3203, 8653, true, true
[apache-fop_r81705_20090920] , 12269, 4284, 821, 114, 114, 93, 1750, 1210, 1936, 717, 4082, 21741, true, true
[apache-forrest-20090827] , 1141, 170, 63, 13, 13, 9, 229, 63, 67, 41, 107, 1030, true, true
[apache-ivy-2.1.0-rc2_20090903] , 5256, 1021, 299, 34, 34, 23, 558, 268, 1052, 245, 2579, 11599, true, true
[apache-jackrabbit-20090827] , 19009, 6103, 1600, 195, 195, 167, 2440, 1733, 4341, 1189, 9604, 28968, true, true
[apache-jakarta-bsf_20090920] , 460, 94, 19, 4, 4, 3, 86, 24, 91, 31, 97, 551, true, true
[apache-jakarta-cactus_r817052_20090920] , 1865, 209, 87, 25, 25, 16, 294, 79, 140, 64, 228, 1748, true, true
[apache-jakarta-jcs_20090920] , 3582, 1429, 414, 36, 36, 26, 502, 209, 835, 253, 2275, 6052, true, true
[apache-jakarta-regexp_r817055_20090920] , 118, 15, 3, 1, 1, 0, 16, 5, 2, 1, 30, 361, true, true
[apache-jmeter-20090827] , 7512, 1918, 364, 33, 33, 27, 886, 502, 1484, 396, 2695, 12589, true, true
[apache-lenya-20090827] , 4366, 2076, 690, 39, 39, 33, 553, 438, 1303, 360, 3821, 7371, true, true
[apache-log4j_r817067_20090920] , 2486, 464, 113, 20, 20, 15, 396, 167, 349, 129, 641, 3175, true, true
[apache-lucene_r817052_20090920] , 11720, 3395, 634, 118, 118, 103, 1873, 1100, 2770, 972, 5939, 23365, true, true
[apache-maven-2.2.1] , 2722, 804, 292, 25, 25, 20, 371, 201, 524, 131, 1279, 4495, true, true
