name,isPoly,callsPoly,nsends,loc
apache-derby_r817075_20090920-ConglomPropertyQueryable-getTableProperties, true, false, 0, 0
apache-derby_r817075_20090920-NullOutputStream-NullOutputStream, false, false, 0, 0
apache-derby_r817075_20090920-PreparedStatement-setBlob, true, false, 11, 20
apache-derby_r817075_20090920-Connection-isReadOnly, true, false, 4, 14
apache-derby_r817075_20090920-LogicalConnection40-newLogicalDatabaseMetaData, true, false, 1, 4
apache-derby_r817075_20090920-LogicalStatementEntityTest-suite, false, false, 1, 4
apache-derby_r817075_20090920-Sqlca-getRowCount, false, false, 0, 3
apache-derby_r817075_20090920-DatabaseMetaData-supportsOpenStatementsAcrossRollback, true, false, 2, 4
apache-derby_r817075_20090920-ResultSet-resultSetContainsNoRows, false, false, 2, 6
apache-derby_r817075_20090920-Lob-incrementUpdateCount, false, false, 0, 3
apache-derby_r817075_20090920-CrossConverters-getBooleanFromByte, false, false, 0, 3
apache-derby_r817075_20090920-PreparedStatement-setLong, true, false, 0, 0
apache-derby_r817075_20090920-DatabaseMetaData-nullPlusNonNullIsNull, true, false, 0, 0
apache-derby_r817075_20090920-SQLOutput-writeAsciiStream, true, false, 0, 0
apache-derby_r817075_20090920-TemporaryRowHolderResultSet-setCurrentRow, true, false, 0, 3
apache-derby_r817075_20090920-DeleteResultSet-setup, true, true, 28, 148
apache-derby_r817075_20090920-AnyResultSet-close, true, true, 6, 20
apache-derby_r817075_20090920-GenericExecutionContext-GenericExecutionContext, false, false, 0, 5
apache-derby_r817075_20090920-BaseActivation-setCurrentRow, true, true, 3, 18
apache-derby_r817075_20090920-AlterTableConstantAction-needsToClone, true, false, 0, 3
apache-derby_r817075_20090920-ExecPreparedStatement-finish, true, false, 0, 0
apache-derby_r817075_20090920-DataTypeDescriptor-isNullable, false, true, 1, 3
apache-derby_r817075_20090920-NumberDataType-setValue, true, false, 5, 12
apache-derby_r817075_20090920-SQLBoolean-setInto, true, true, 3, 9
apache-derby_r817075_20090920-XML-normalize, true, true, 4, 16
apache-derby_r817075_20090920-SQLTimestamp-readExternalFromArray, true, false, 1, 7
apache-derby_r817075_20090920-SQLDecimal-getFloat, true, false, 3, 11
apache-derby_r817075_20090920-Reply-peekTotalColumnCount, false, false, 1, 17
apache-derby_r817075_20090920-NetXAResource-rollback, false, true, 13, 41
apache-derby_r817075_20090920-Request-writeScalarPaddedString, false, true, 3, 8
apache-derby_r817075_20090920-NetConnectionReply-parseSQLCNGRP, false, false, 2, 6
apache-derby_r817075_20090920-NetConnectionRequest-writeLocalCommit, true, false, 1, 3
apache-derby_r817075_20090920-MethodCallNode-remapColumnReferencesToExpressions, true, true, 1, 16
apache-derby_r817075_20090920-ColumnReference-putAndsOnTop, true, false, 6, 26
apache-derby_r817075_20090920-BinaryComparisonOperatorNode-changeToCNF, true, true, 1, 12
apache-derby_r817075_20090920-QueryTreeNode-getCompilerContext, false, false, 2, 4
apache-derby_r817075_20090920-ResultColumnList-isCloneable, false, true, 4, 17
apache-derby_r817075_20090920-QueryTreeNodeVector-removeElementAt, false, false, 1, 3
apache-derby_r817075_20090920-TableOperatorNode-adjustForSortElimination, true, true, 1, 4
apache-derby_r817075_20090920-ConstraintDefinitionNode-getProperties, false, false, 0, 3
apache-derby_r817075_20090920-HasCorrelatedCRsVisitor-HasCorrelatedCRsVisitor, false, false, 0, 2
apache-derby_r817075_20090920-CreateViewNode-init, true, false, 3, 9
apache-derby_r817075_20090920-DMLModStatementNode-statementToString, true, false, 0, 3
apache-derby_r817075_20090920-JoinNode-generateCore, false, true, 13, 46
apache-derby_r817075_20090920-CompilerContextImpl-setScanIsolationLevel, true, false, 0, 3
apache-derby_r817075_20090920-Level2OptimizerImpl-trace, true, true, 25, 403
apache-derby_r817075_20090920-GeneratedByteCode-getMethod, true, false, 0, 0
apache-derby_r817075_20090920-EmbedConnection-commitIfAutoCommit, false, true, 4, 15
apache-derby_r817075_20090920-EmbedResultSet-closeOnTransactionError, false, true, 5, 18
apache-derby_r817075_20090920-EmbedDatabaseMetaData-getMaxIndexLength, true, false, 0, 3
apache-derby_r817075_20090920-UpdatableBlobStream-updateIfRequired, false, false, 4, 13
apache-derby_r817075_20090920-PreparedStatement-getBeginCompileTimestamp, true, false, 0, 0
apache-derby_r817075_20090920-BrokeredStatement-execute, true, true, 2, 3
apache-derby_r817075_20090920-BrokeredCallableStatement30-getBoolean, true, true, 2, 3
apache-derby_r817075_20090920-DataDescriptorGenerator-newPermDescriptor, false, false, 1, 10
apache-derby_r817075_20090920-ColPermsDescriptor-toString, false, false, 6, 8
apache-derby_r817075_20090920-SPSDescriptor-prepareAndRelease, false, false, 1, 3
apache-derby_r817075_20090920-ClassHolder-getEntry, false, false, 1, 3
apache-derby_r817075_20090920-SystemProcedures-checkJarSQLName, false, false, 3, 10
apache-derby_r817075_20090920-CompilerContext-popCurrentPrivType, true, false, 0, 0
apache-derby_r817075_20090920-StringUtil-SQLEqualsIgnoreCase, false, false, 2, 7
apache-derby_r817075_20090920-TimeHandlingTest-testCurrentTime, false, false, 1, 3
apache-derby_r817075_20090920-SQLSessionContextTest-setUp, false, false, 4, 51
apache-derby_r817075_20090920-ResultSetsFromPreparedStatementTest-testUnionResultSet, false, true, 7, 79
apache-derby_r817075_20090920-GrantRevokeTest-assertDeletePrivilege, false, true, 10, 22
apache-derby_r817075_20090920-OffsetFetchNextTest-testDynamicArgs, false, true, 16, 104
apache-derby_r817075_20090920-DistinctTest-testDistinctScanForSubquery, false, true, 9, 40
apache-derby_r817075_20090920-DBInJarTest-DBInJarTest, false, false, 0, 4
apache-derby_r817075_20090920-TableVTI-updateLong, true, false, 1, 3
apache-derby_r817075_20090920-AnsiSignaturesTest-declareFunction, false, true, 12, 27
apache-derby_r817075_20090920-StreamsTest-insertLongString, false, true, 7, 20
apache-derby_r817075_20090920-TestConfiguration-openDefaultConnection, false, false, 1, 3
apache-derby_r817075_20090920-NetworkServerTestSetup-NetworkServerTestSetup, false, false, 0, 11
apache-derby_r817075_20090920-ParsedArgs-isValid, false, false, 0, 1
apache-derby_r817075_20090920-connectionJdbc20-get_using_binary_stream, false, false, 4, 12
apache-derby_r817075_20090920-SetTransactionIsolationTest-checkIsolationLevelTimeout, false, true, 9, 28
apache-derby_r817075_20090920-XADSAuthenticationTest-assertConnectionFail, true, false, 9, 17
apache-derby_r817075_20090920-SURTest-testOtherAndOwnPrimaryKeyUpdate1, false, true, 16, 37
apache-derby_r817075_20090920-AutoGenJDBC30Test-getKeyValue, false, true, 6, 14
apache-derby_r817075_20090920-HoldabilityTest-testHeldForwardOnlyResultSetScanInit, false, true, 5, 9
apache-derby_r817075_20090920-BlobUpdatableStreamTest-tearDown, true, true, 5, 7
apache-derby_r817075_20090920-LoadError-nonSupportedTypeColumn, false, false, 2, 6
apache-derby_r817075_20090920-IndexDescriptorImpl-setNumberOfOrderedColumns, true, false, 0, 3
apache-derby_r817075_20090920-Driver40-newEmbedStatement, true, false, 1, 4
apache-derby_r817075_20090920-StorageRandomAccessFile-close, true, false, 0, 0
apache-derby_r817075_20090920-ReplicationRun-stopSlave, false, true, 17, 80
apache-derby_r817075_20090920-ReplicationRun_Local-testReplication_Local_TestStraightReplication, false, true, 16, 90
apache-derby_r817075_20090920-PrepareStatementTest-testReadBlobCloseToMaxDssLength, false, true, 12, 20
apache-derby_r817075_20090920-T_DaemonService-runTestSet, true, false, 6, 21
apache-derby_r817075_20090920-LanguageConnectionContext-getStatisticsTiming, true, false, 0, 0
apache-derby_r817075_20090920-PersistentService-hasStorageFactory, true, false, 0, 0
apache-derby_r817075_20090920-RealBasicNoPutResultSetStatistics-getChildren, true, false, 1, 3
apache-derby_r817075_20090920-ControlRow-ControlRow, false, true, 3, 13
apache-derby_r817075_20090920-BTreeController-comparePreviousRecord, false, true, 10, 73
apache-derby_r817075_20090920-LockingPolicy-lockRecordForRead, true, false, 0, 0
apache-derby_r817075_20090920-RAMAccessManager-addPropertySetNotification, false, true, 5, 18
apache-derby_r817075_20090920-BankAccountFiller-dropTables, false, true, 2, 7
apache-derby_r817075_20090920-DataDictionaryImpl-getAllDependencyDescriptorsList, true, true, 12, 44
apache-derby_r817075_20090920-SYSALIASESRowFactory-buildColumnList, true, false, 6, 17
apache-derby_r817075_20090920-RowSetMetaDataImpl-setColumnTypeName, true, false, 0, 1
apache-derby_r817075_20090920-RunList-getVersionArray, false, false, 12, 46
apache-derby_r817075_20090920-Main-crLf, false, false, 1, 3
apache-derby_r817075_20090920-Pkgnamcsn-getPkgid, false, false, 0, 3
apache-derby_r817075_20090920-NetworkServerControlImpl-runningUnsecure, false, false, 0, 1
apache-derby_r817075_20090920-DRDAConnThread-writeSQLNUMGRP, false, false, 2, 8
apache-derby_r817075_20090920-DRDAXAProtocol-getXAResource, false, false, 2, 4
apache-derby_r817075_20090920-FlatFileVTI-wrap, false, false, 2, 7
apache-derby_r817075_20090920-LockControl-unlock, true, true, 11, 53
apache-derby_r817075_20090920-IjSecurityManagerTest-testRunIJ, false, false, 6, 27
apache-derby_r817075_20090920-Triggers-returnPrimLong, false, false, 0, 3
apache-derby_r817075_20090920-RAFContainer-setIdentity, true, false, 4, 13
apache-derby_r817075_20090920-StreamFileContainerHandle-update, false, true, 5, 37
apache-derby_r817075_20090920-StoredPage-qualifyRecordFromSlot, false, true, 28, 168
apache-derby_r817075_20090920-OverflowInputStream-setOverflowPage, false, false, 0, 3
apache-derby_r817075_20090920-DecryptInputStream-DecryptInputStream, false, true, 1, 7
apache-derby_r817075_20090920-DeleteOperation-writeExternal, false, false, 3, 5
apache-derby_r817075_20090920-ServiceRegistration-setProperties, false, false, 0, 0
apache-derby_r817075_20090920-LiveLockTest-checkExceptions, false, false, 3, 8
apache-derby_r817075_20090920-StreamingColumnTest-testStream13, false, true, 8, 68
apache-derby_r817075_20090920-GenericParameterValueSet-allAreSet, true, false, 0, 19
apache-derby_r817075_20090920-ErrorMessages-run, false, false, 2, 6
apache-derby_r817075_20090920-StatementEventsTest-testErrorEventOnClosedConnection, false, true, 6, 13
apache-derby_r817075_20090920-BlobTest-transferAlphabetData, false, false, 3, 8
